Time,Etalon,Fcn1 (0.0054 -> 0.0081),Fcn1 (0.0054 -> 0.0102),Fcn17 (0.027 -> 0.0405),Fcn17 (0.027 -> 0.054),Fcn7 (0.025 -> 0.0375),Fcn7 (0.025 -> 0.05),Fcn9 (0.45 -> 0.625),Fcn9 (0.45 -> 0.90),Fcn11 (0.015 -> 0.0225),Fcn11 (0.015 -> 0.030),Fcn14 (0.306 -> 0.459),Fcn14 (0.306 -> 0.612)
0.472,61.55783431,61.64738646,61.70681728,61.55528266,61.53860935,66.45295549,71.60839123,52.15124654,30.49792849,58.91080813,56.12003347,53.63570672,58.56527118
0.474,61.49297786,61.58422908,61.64488904,61.49054835,61.47445069,66.36650118,71.50071764,52.31679718,30.85996764,58.86319604,56.09059575,53.38848783,58.18479151
0.476,61.42705304,61.51998212,61.58185602,61.42473984,61.40919838,66.27906857,71.39209684,52.47965485,31.21840347,58.81440323,56.05985934,53.14240587,57.80639301
0.478,61.36007342,61.45465934,61.51773213,61.35787099,61.34286691,66.19067115,71.28254455,52.63984225,31.57326223,58.76444403,56.0278393,52.89745562,57.43006517
0.48,61.29205248,61.38827439,61.45253114,61.28995552,61.27547061,66.10132224,71.1720763,52.79738193,31.92456997,58.71333262,55.99455054,52.65363189,57.05579754
0.482,61.22300355,61.3208408,61.38626671,61.22100702,61.20702368,66.01103507,71.06070734,52.95229627,32.2723526,58.66108307,55.96000788,52.41092953,56.68357972
0.484,61.15293986,61.25237196,61.31895236,61.15103897,61.13754017,65.91982271,70.94845273,53.10460749,32.61663583,58.60770932,55.92422599,52.16934338,56.31340134
0.486,61.08187452,61.18288118,61.25060153,61.08006471,61.06703398,65.82769812,70.83532731,53.25433765,32.95744519,58.5532252,55.88721942,51.92886835,55.9452521
0.488,61.00982052,61.11238162,61.1812275,61.00809744,60.99551885,65.73467413,70.72134569,53.40150863,33.29480606,58.4976444,55.8490026,51.68949931,55.57912175
0.49,60.93679076,61.04088634,61.11084347,60.93515025,60.92300842,65.64076343,70.6065223,53.54614218,33.62874363,58.44098053,55.80958983,51.45123122,55.21500007
0.492,60.862798,60.96840829,61.0394625,60.86123613,60.84951616,65.5459786,70.49087134,53.68825987,33.95928294,58.38324703,55.76899532,51.21405902,54.85287691
0.494,60.7878549,60.8949603,60.96709755,60.7863679,60.7750554,65.45033211,70.37440682,53.82788313,34.28644882,58.32445728,55.72723312,50.97797767,54.49274215
0.496,60.71197401,60.82055508,60.89376146,60.7105583,60.69963935,65.35383628,70.25714258,53.96503323,34.61026598,58.26462451,55.68431718,50.74298219,54.13458574
0.498,60.63516776,60.74520525,60.81946695,60.63381993,60.62328109,65.25650335,70.13909223,54.09973126,34.93075894,58.20376183,55.64026134,50.50906758,53.77839766
0.5,60.55744848,60.66892331,60.74422665,60.55616529,60.54599354,65.1583454,70.02026923,54.2319982,35.24795205,58.14188225,55.5950793,50.2762289,53.42416794
0.502,60.4788284,60.59172163,60.66805306,60.47760674,60.46778952,65.05937442,69.90068684,54.36185484,35.5618695,58.07899869,55.54878466,50.0444612,53.07188668
0.504,60.39931961,60.51361249,60.59095857,60.39815656,60.38868171,64.95960229,69.78035814,54.48932184,35.87253532,58.0151239,55.5013909,49.81375957,52.72154399
0.506,60.31893414,60.43460807,60.51295548,60.31782688,60.30868265,64.85904076,69.65929604,54.61441969,36.17997337,57.95027058,55.45291138,49.58411912,52.37313006
0.508,60.23768387,60.35472042,60.43405597,60.23662973,60.22780477,64.75770148,69.5375133,54.73716876,36.48420736,57.88445127,55.40335936,49.35553498,52.02663512
0.51,60.15558059,60.27396151,60.3542721,60.15457703,60.14606038,64.65559597,69.41502248,54.85758925,36.78526082,57.81767844,55.35274798,49.12800231,51.68204943
0.512,60.07263601,60.19234318,60.27361584,60.07168061,60.06346165,64.55273567,69.29183599,54.97570121,37.08315714,57.74996443,55.30109025,48.90151627,51.33936332
0.514,59.9888617,60.10987719,60.19209905,59.98795215,59.98002064,64.44913188,69.16796609,55.09152455,37.37791955,57.68132146,55.24839909,48.67607208,50.99856716
0.516,59.90426915,60.02657516,60.10973349,59.90340325,59.89574929,64.34479582,69.04342487,55.20507904,37.6695711,57.61176169,55.1946873,48.45166493,50.65965134
0.518,59.81886974,59.94244863,60.0265308,59.8180454,59.81065941,64.23973859,68.91822427,55.3163843,37.95813472,57.54129711,55.13996759,48.22829009,50.32260635
0.52,59.73267474,59.85750906,59.94250254,59.73188998,59.72476272,64.13397118,68.79237608,55.4254598,38.24363315,57.46993967,55.08425252,48.0059428,49.98742267
0.522,59.64569535,59.77176776,59.85766014,59.64494826,59.6380708,64.0275045,68.66589194,55.53232489,38.52608901,57.39770116,55.02755457,47.78461836,49.65409086
0.524,59.55794263,59.68523597,59.77201496,59.55723141,59.55059511,63.92034932,68.53878335,55.63699875,38.80552472,57.32459329,54.96988612,47.56431207,49.32260153
0.526,59.46942757,59.59792484,59.68557823,59.46875051,59.46234703,63.81251633,68.41106166,55.73950044,39.0819626,57.25062769,54.91125941,47.34501925,48.9929453
0.528,59.38016105,59.50984538,59.5983611,59.37951651,59.3733378,63.70401613,68.28273808,55.83984886,39.35542478,57.17581584,54.85168662,47.12673526,48.66511287
0.53,59.29015387,59.42100854,59.51037462,59.28954028,59.28357855,63.59485919,68.1538237,55.93806281,39.62593326,57.10016915,54.79117978,46.90945546,48.33909497
0.532,59.1994167,59.33142516,59.42162971,59.19883258,59.19308032,63.48505592,68.02432944,56.0341609,39.89350989,57.02369893,54.72975084,46.69317524,48.01488238
0.534,59.10796015,59.24110597,59.33213725,59.10740409,59.10185402,63.37461658,67.89426612,56.12816165,40.15817636,56.94641639,54.66741164,46.47789002,47.69246592
0.536,59.01579471,59.15006163,59.24190796,59.01526536,59.00991048,63.26355139,67.76364441,56.22008341,40.41995422,56.86833261,54.60417392,46.26359522,47.37183646
